TransactionID,Items
1,"['Chips', 'Bread', 'Shampoo', 'Wheat Flour']"
2,"['Tomatosauce', 'Coffee', 'Chips', 'Waterbottle', 'Bread', 'Tea', 'Biscuits', 'Cold Drink']"
3,"['Banana', 'Chips', 'Nuts', 'Tea', 'Biscuits', 'Bread', 'Apple']"
4,"['Oil', 'Chips', 'Biscuits', 'Cold Drink', 'Cookies']"
5,"['Tomato', 'Oats', 'Chips', 'Bread', 'Soap', 'Tea', 'Cold Drink']"
6,"['Oats', 'Chips', 'Milk', 'Bread', 'Curd', 'Tea', 'Biscuits', 'Cold Drink']"
7,"['Chips', 'Spices', 'Soap', 'Biscuits', 'Cold Drink']"
8,"['Oats', 'Chips', 'Tea', 'Biscuits', 'Cold Drink']"
9,"['Biscuits', 'Bread', 'Juice', 'Soap']"
10,"['Cold Drink', 'Chips', 'Sugar', 'Brown Bread', 'Tea', 'Bread', 'Panner']"
11,"['Biscuits', 'Semolina', 'Toothpaste', 'Butter']"
12,"['Salt', 'Tomato', 'Coffee', 'Milk', 'Butter', 'Biscuits', 'Bread']"
13,"['Tea', 'Toothpaste', 'Butter']"
14,"['Tomatosauce', 'Nuts', 'Waterbottle', 'Milk', 'Butter', 'Biscuits', 'Bread']"
15,"['Butter', 'Popcorn', 'Tea', 'Biscuits', 'Bread', 'Cookies']"
16,"['Oats', 'Milk', 'Bread', 'Butter', 'Biscuits', 'Cold Drink']"
17,"['Chips', 'Milk', 'Ghee', 'Butter', 'Wheat Flour', 'Tea', 'Biscuits', 'Bread']"
18,"['Shampoo', 'Dal', 'Milk', 'Butter', 'Popcorn', 'Tea', 'Biscuits', 'Bread']"
19,"['Shampoo', 'Milk', 'Brown Bread', 'Butter', 'Biscuits', 'Bread']"
20,"['Waterbottle', 'Milk', 'Butter', 'Tea', 'Panner']"
21,"['Milk', 'Tea', 'Biscuits', 'Popcorn', 'Rusk']"
22,"['Milk', 'Soap', 'Butter', 'Oil']"
23,"['Banana', 'Milk', 'Soap', 'Butter', 'Tea', 'Biscuits', 'Bread', 'Panner']"
24,"['Tomatosauce', 'Shampoo', 'Oats', 'Milk', 'Butter', 'Tea', 'Bread']"
25,"['Biscuits', 'Bread', 'Cookies', 'Carrot']"
26,"['Tea', 'Biscuits', 'Oil']"
27,"['Sugar', 'Bread', 'Milk', 'Butter']"
28,"['Dal', 'Butter', 'Tea', 'Biscuits', 'Bread']"
29,"['Tea', 'Biscuits', 'Dal']"
30,"['Tea', 'Waterbottle', 'Butter']"
31,"['Banana', 'Milk', 'Ghee', 'Butter', 'Tea', 'Biscuits', 'Rice']"
32,"['Chips', 'Cold Drink', 'Panner']"
33,"['Chips', 'Spices', 'Bread', 'Chocolate', 'Tea', 'Biscuits', 'Cold Drink', 'Rice']"
34,"['Salt', 'Cold Drink', 'Chips', 'Cheese', 'Namkeen', 'Tea', 'Biscuits', 'Bread']"
35,"['Potato', 'Bread', 'Tea', 'Biscuits', 'Cold Drink', 'Rusk']"
36,"['Cheese', 'Tea', 'Biscuits']"
37,"['Chips', 'Tea', 'Carrot', 'Popcorn']"
38,"['Chips', 'Bread', 'Cold Drink', 'Potato']"
39,"['Tea', 'Bread', 'Wheat Flour']"
40,"['Chips', 'Ghee', 'Bread', 'Juice']"
41,"['Oil', 'Cheese', 'Bread', 'Tea', 'Cold Drink']"
42,"['Banana', 'Dal', 'Spices', 'Nuts', 'Milk', 'Namkeen', 'Curd', 'Apple']"
43,"['Banana', 'Oats', 'Milk', 'Curd', 'Carrot', 'Poha', 'Cookies']"
44,"['Semolina', 'Milk', 'Curd']"
45,"['Oats', 'Poha', 'Milk', 'Curd', 'Rice', 'Bread', 'Apple']"
46,"['Banana', 'Cookies', 'Nuts', 'Waterbottle', 'Milk', 'Poha', 'Apple']"
47,"['Banana', 'Tomato', 'Nuts', 'Waterbottle', 'Curd']"
48,"['Oats', 'Sugar', 'Banana', 'Apple']"
49,"['Banana', 'Oats', 'Dal', 'Nuts', 'Milk', 'Curd', 'Chocolate', 'Apple']"
50,"['Salt', 'Nuts', 'Apple', 'Wheat Flour']"
51,"['Shampoo', 'Oats', 'Nuts', 'Waterbottle', 'Apple']"
52,"['Spices', 'Apple', 'Milk', 'Oats']"
53,"['Banana', 'Shampoo', 'Nuts', 'Milk', 'Namkeen', 'Curd', 'Tea', 'Apple']"
54,"['Banana', 'Spices', 'Apple', 'Butter']"
55,"['Oats', 'Potato', 'Nuts', 'Waterbottle', 'Milk', 'Apple']"
56,"['Shampoo', 'Tomato', 'Oil', 'Ghee', 'Chocolate', 'Butter', 'Onion', 'Rice']"
57,"['Tomato', 'Oil', 'Dal', 'Cheese', 'Nuts', 'Ghee']"
58,"['Semolina', 'Dal', 'Juice', 'Onion', 'Rice']"
59,"['Salt', 'Tomato', 'Oil', 'Namkeen', 'Onion']"
60,"['Oil', 'Dal', 'Spices', 'Ghee', 'Rice', 'Apple']"
61,"['Salt', 'Tomato', 'Ghee', 'Waterbottle']"
62,"['Nuts', 'Waterbottle', 'Oil', 'Rice']"
63,"['Tomato', 'Oil', 'Dal', 'Cheese', 'Spices', 'Onion', 'Popcorn', 'Rice']"
64,"['Semolina', 'Dal', 'Ghee', 'Onion', 'Rusk', 'Rice']"
65,"['Tomato', 'Oil', 'Sugar', 'Namkeen', 'Ghee', 'Chocolate', 'Onion', 'Rice']"
66,"['Oil', 'Dal', 'Spices', 'Ghee', 'Onion']"
67,"['Shampoo', 'Oil', 'Ghee', 'Onion', 'Tea', 'Popcorn', 'Rice']"
68,"['Salt', 'Tomato', 'Wheat Flour', 'Onion', 'Rice']"
69,"['Coffee', 'Dal', 'Spices', 'Curd', 'Onion', 'Rice', 'Panner']"
70,"['Tomato', 'Oil', 'Oats', 'Nuts', 'Ghee', 'Soap', 'Onion', 'Rice']"
71,"['Tomato', 'Oil', 'Semolina', 'Chips', 'Spices', 'Curd', 'Ghee', 'Onion']"
72,"['Oil', 'Dal', 'Spices', 'Waterbottle', 'Ghee', 'Onion']"
73,"['Tomatosauce', 'Ghee', 'Onion']"
74,"['Tomato', 'Juice', 'Coffee', 'Onion']"
75,"['Rice', 'Dal', 'Onion']"
76,"['Tomato', 'Dal', 'Ghee', 'Juice', 'Brown Bread', 'Rice']"
77,"['Salt', 'Dal', 'Spices', 'Ghee', 'Onion', 'Tea', 'Rice', 'Panner']"
78,"['Semolina', 'Ghee', 'Rice']"
79,"['Chips', 'Potato', 'Tea', 'Biscuits', 'Bread', 'Apple']"
80,"['Chips', 'Waterbottle', 'Bread', 'Juice', 'Popcorn', 'Tea', 'Biscuits', 'Cold Drink']"
81,"['Cold Drink', 'Tea', 'Biscuits', 'Bread', 'Rusk', 'Cookies']"
82,"['Tea', 'Bread', 'Biscuit', 'Waterbottle']"
83,"['Salt', 'Dal', 'Chips', 'Facewash', 'Bread', 'Tea', 'Biscuits', 'Cold Drink']"
84,"['Chips', 'Tea', 'Spices']"
85,"['Cold Drink', 'Chips', 'Waterbottle', 'Butter', 'Tea', 'Biscuits', 'Bread', 'Cookies']"
86,"['Chips', 'Biscuits', 'Cold Drink', 'Soap']"
87,"['Cold Drink', 'Chips', 'Nuts', 'Facewash', 'Ghee', 'Tea', 'Biscuits', 'Bread']"
88,"['Coffee', 'Bread', 'Tea', 'Cold Drink', 'Cookies']"
89,"['Cheese', 'Milk', 'Butter', 'Tea', 'Biscuits', 'Cold Drink']"
90,"['Tea', 'Biscuits', 'Sugar']"
91,"['Banana', 'Toothpaste', 'Milk', 'Butter', 'Tea', 'Biscuits']"
