antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,SemanticSimilarity
frozenset({'Tea'}),frozenset({'Bread'}),0.2636,0.395,0.1614,0.6122913505311077,1.5501046848888802,1.0,0.05727799999999998,1.560450097847358,0.4819151005561736,0.32461786001609,0.3591592570762111,0.5104494727339083,0.287
frozenset({'Bread'}),frozenset({'Tea'}),0.395,0.2636,0.1614,0.4086075949367088,1.55010468488888,1.0,0.05727799999999998,1.2451969178082187,0.5865822810736632,0.32461786001609,0.19691417020194024,0.5104494727339083,0.287
frozenset({'Tea'}),frozenset({'Milk'}),0.2636,0.3692,0.1076,0.40819423368740515,1.1056181844187574,1.0,0.010278880000000004,1.0658902564102564,0.1297238247356274,0.2048743335872049,0.061817111108758996,0.3498175935500948,0.531
frozenset({'Milk'}),frozenset({'Tea'}),0.3692,0.2636,0.1076,0.2914409534127844,1.1056181844187574,1.0,0.010278880000000004,1.0392923547400612,0.15144043204710847,0.2048743335872049,0.03780683516130421,0.3498175935500948,0.531
"frozenset({'Tea', 'Bread'})",frozenset({'Milk'}),0.1614,0.3692,0.0716,0.4436183395291202,1.2015664667635977,1.0,0.012011120000000007,1.1337541202672607,0.20003943790328932,0.15599128540305013,0.1179745395198482,0.31877558363238245,0.531
"frozenset({'Tea', 'Milk'})",frozenset({'Bread'}),0.1076,0.395,0.0716,0.6654275092936802,1.6846266058067854,1.0,0.029097999999999992,1.8082777777777772,0.455397409283609,0.16612529002320184,0.44698761866724,0.42334666603924515,0.287
"frozenset({'Milk', 'Bread'})",frozenset({'Tea'}),0.1778,0.2636,0.0716,0.4026996625421822,1.5276921947730735,1.0,0.02473191999999999,1.2328806026365347,0.42011417793112615,0.19361817198485667,0.18889144831909588,0.33716166738641734,0.531
frozenset({'Tea'}),"frozenset({'Milk', 'Bread'})",0.2636,0.1778,0.0716,0.2716236722306525,1.5276921947730735,1.0,0.02473191999999999,1.1288120833333333,0.46906284233429113,0.19361817198485667,0.11411295576581423,0.33716166738641734,0.531
frozenset({'Bread'}),"frozenset({'Tea', 'Milk'})",0.395,0.1076,0.0716,0.1812658227848101,1.6846266058067854,1.0,0.029097999999999992,1.0899752628324055,0.6717299967680871,0.16612529002320184,0.0825479860878643,0.42334666603924515,0.287
frozenset({'Milk'}),"frozenset({'Tea', 'Bread'})",0.3692,0.1614,0.0716,0.19393282773564463,1.2015664667635975,1.0,0.012011120000000007,1.0403599462365591,0.2659370206494902,0.15599128540305013,0.03879421385123377,0.31877558363238245,0.531
frozenset({'Chips'}),frozenset({'Bread'}),0.2168,0.395,0.0884,0.40774907749077494,1.0322761455462657,1.0,0.0027640000000000026,1.0215264797507788,0.03992207396040842,0.1688956820787161,0.021072855356652757,0.31577327292260265,0.454
frozenset({'Bread'}),frozenset({'Chips'}),0.395,0.2168,0.0884,0.22379746835443037,1.0322761455462657,1.0,0.0027640000000000026,1.0090150032615786,0.05168093938147419,0.1688956820787161,0.008934459083797728,0.31577327292260265,0.454
frozenset({'Chips'}),frozenset({'Tea'}),0.2168,0.2636,0.079,0.3643911439114391,1.3823639753848223,1.0,0.02185152,1.1585741654571842,0.3531684358878215,0.1968111609367215,0.1368701030845181,0.3320438268874343,0.209
frozenset({'Tea'}),frozenset({'Chips'}),0.2636,0.2168,0.079,0.29969650986342944,1.3823639753848223,1.0,0.02185152,1.1183722643553629,0.37561314365472814,0.1968111609367215,0.10584334762950644,0.3320438268874343,0.209
"frozenset({'Chips', 'Tea'})",frozenset({'Bread'}),0.079,0.395,0.0532,0.6734177215189873,1.7048549911873094,1.0,0.021994999999999997,1.8525193798449608,0.4489032026319871,0.12642585551330796,0.46019458102311944,0.40405063291139237,0.454
"frozenset({'Chips', 'Bread'})",frozenset({'Tea'}),0.0884,0.2636,0.0532,0.6018099547511312,2.2830423169618026,1.0,0.029897759999999995,1.8493681818181815,0.6164852675787758,0.178045515394913,0.4592747891786138,0.4018154477852773,0.209
"frozenset({'Tea', 'Bread'})",frozenset({'Chips'}),0.1614,0.2168,0.0532,0.32961586121437425,1.5203683635349365,1.0,0.01820848,1.1682853974121996,0.40813816080865173,0.1636923076923077,0.1440447666169232,0.2875016575444565,0.209
frozenset({'Chips'}),"frozenset({'Tea', 'Bread'})",0.2168,0.1614,0.0532,0.24538745387453875,1.5203683635349365,1.0,0.01820848,1.1112987775061125,0.4370079949618684,0.1636923076923077,0.10015198410987212,0.2875016575444565,0.209
frozenset({'Tea'}),"frozenset({'Chips', 'Bread'})",0.2636,0.0884,0.0532,0.20182094081942337,2.2830423169618026,1.0,0.029897759999999995,1.1420996197718631,0.7631558526952906,0.178045515394913,0.12441963670406249,0.4018154477852773,0.209
frozenset({'Bread'}),"frozenset({'Chips', 'Tea'})",0.395,0.079,0.0532,0.13468354430379745,1.7048549911873094,1.0,0.021994999999999997,1.0643504973668814,0.6833716522711737,0.12642585551330796,0.060459874379801784,0.40405063291139237,0.454
frozenset({'Tea'}),frozenset({'Biscuits'}),0.2636,0.2078,0.148,0.5614567526555386,2.7019093005560086,1.0,0.09322391999999999,1.806435294117647,0.8553657677231821,0.4576376004947433,0.44642357063309596,0.6368400221410513,0.321
frozenset({'Biscuits'}),frozenset({'Tea'}),0.2078,0.2636,0.148,0.712223291626564,2.701909300556009,1.0,0.09322391999999999,2.558928428093645,0.795116575803271,0.4576376004947433,0.6092114226324877,0.6368400221410513,0.321
frozenset({'Bread'}),frozenset({'Biscuits'}),0.395,0.2078,0.1432,0.3625316455696202,1.7446181211242549,1.0,0.06111899999999998,1.2427283558379665,0.705468858211367,0.3115752828546562,0.19531891639689494,0.5258279017068505,0.586
frozenset({'Biscuits'}),frozenset({'Bread'}),0.2078,0.395,0.1432,0.6891241578440808,1.744618121124255,1.0,0.06111899999999998,1.9461145510835907,0.5387637707875246,0.3115752828546562,0.48615563280013346,0.5258279017068505,0.586
frozenset({'Chips'}),frozenset({'Biscuits'}),0.2168,0.2078,0.0702,0.3238007380073801,1.5582326179373438,1.0,0.025148959999999998,1.1715481582537517,0.45741482820134505,0.19808126410835214,0.146428601372608,0.3308127847880981,0.532
frozenset({'Biscuits'}),frozenset({'Chips'}),0.2078,0.2168,0.0702,0.33782483156881615,1.558232617937344,1.0,0.025148959999999998,1.1827686046511627,0.45221824469489197,0.19808126410835214,0.15452608729419837,0.3308127847880981,0.532
frozenset({'Milk'}),frozenset({'Biscuits'}),0.3692,0.2078,0.0838,0.22697724810400868,1.0922870457363265,1.0,0.0070802400000000015,1.024808128941836,0.13394061108143163,0.16991078669910786,0.02420758407473955,0.3151248126949302,0.337
frozenset({'Biscuits'}),frozenset({'Milk'}),0.2078,0.3692,0.0838,0.40327237728585175,1.0922870457363265,1.0,0.0070802400000000015,1.0570987096774194,0.10665202912164488,0.16991078669910786,0.05401454864592862,0.3151248126949302,0.337
"frozenset({'Tea', 'Bread'})",frozenset({'Biscuits'}),0.1614,0.2078,0.1056,0.654275092936803,3.1485808129778774,1.0,0.07206108,2.291417204301075,0.813733115799059,0.4006069802731412,0.5635888575319401,0.5812280180757161,0.321
"frozenset({'Tea', 'Biscuits'})",frozenset({'Bread'}),0.148,0.395,0.1056,0.7135135135135136,1.8063633253506672,1.0,0.04714,2.111792452830189,0.5239454403186797,0.24142661179698216,0.5264686173777083,0.4904276428327061,0.287
"frozenset({'Bread', 'Biscuits'})",frozenset({'Tea'}),0.1432,0.2636,0.1056,0.7374301675977654,2.797534778443723,1.0,0.06785247999999999,2.804587234042553,0.7499328014033896,0.35059760956175295,0.6434412922294479,0.5690185739354532,0.287
frozenset({'Tea'}),"frozenset({'Bread', 'Biscuits'})",0.2636,0.1432,0.1056,0.4006069802731411,2.797534778443723,1.0,0.06785247999999999,1.429446075949367,0.8725453887050846,0.35059760956175295,0.30042831497798916,0.5690185739354532,0.287
frozenset({'Bread'}),"frozenset({'Tea', 'Biscuits'})",0.395,0.148,0.1056,0.2673417721518987,1.806363325350667,1.0,0.04714,1.1628887353144435,0.7378537440520911,0.24142661179698216,0.1400725025257027,0.4904276428327061,0.287
frozenset({'Biscuits'}),"frozenset({'Tea', 'Bread'})",0.2078,0.1614,0.1056,0.5081809432146294,3.1485808129778774,1.0,0.07206108,1.705098630136986,0.8613943333868858,0.4006069802731412,0.41352366231174503,0.5812280180757161,0.321
"frozenset({'Chips', 'Tea'})",frozenset({'Biscuits'}),0.079,0.2078,0.0508,0.6430379746835443,3.0945042092567094,1.0,0.03438379999999999,2.2192836879432623,0.7349038617729785,0.21525423728813559,0.5494041589037418,0.4437519036074122,0.532
"frozenset({'Chips', 'Biscuits'})",frozenset({'Tea'}),0.0702,0.2636,0.0508,0.7236467236467237,2.7452455373547937,1.0,0.032295279999999996,2.6647051546391753,0.6837318329401123,0.1795053003533569,0.6247239593247198,0.4581814801845151,0.209
"frozenset({'Tea', 'Biscuits'})",frozenset({'Chips'}),0.148,0.2168,0.0508,0.34324324324324323,1.5832252917123766,1.0,0.018713600000000004,1.1925267489711935,0.432368489150124,0.16178343949044585,0.16144438616348727,0.2887802932083375,0.209
frozenset({'Chips'}),"frozenset({'Tea', 'Biscuits'})",0.2168,0.148,0.0508,0.23431734317343172,1.5832252917123766,1.0,0.018713600000000004,1.112732530120482,0.47034978646055364,0.16178343949044585,0.10131143564956777,0.2887802932083375,0.209
frozenset({'Tea'}),"frozenset({'Chips', 'Biscuits'})",0.2636,0.0702,0.0508,0.1927162367223065,2.7452455373547937,1.0,0.032295279999999996,1.1517635338345864,0.8632996445786482,0.1795053003533569,0.13176622577146324,0.4581814801845151,0.209
frozenset({'Biscuits'}),"frozenset({'Chips', 'Tea'})",0.2078,0.079,0.0508,0.24446583253128004,3.0945042092567094,1.0,0.03438379999999999,1.2190050955414014,0.8543883573503072,0.21525423728813559,0.17965888439878397,0.4437519036074122,0.532
"frozenset({'Chips', 'Bread'})",frozenset({'Biscuits'}),0.0884,0.2078,0.0498,0.5633484162895926,2.7110125904215234,1.0,0.03143048,1.8142611398963726,0.6923367009063018,0.2021103896103896,0.44881143182225786,0.4015009646414277,0.532
"frozenset({'Chips', 'Biscuits'})",frozenset({'Bread'}),0.0702,0.395,0.0498,0.7094017094017093,1.7959536946878716,1.0,0.022070999999999997,2.0819117647058816,0.47665387296659206,0.11988444872412132,0.519672246944974,0.417738829384399,0.454
"frozenset({'Bread', 'Biscuits'})",frozenset({'Chips'}),0.1432,0.2168,0.0498,0.3477653631284916,1.6040837782679502,1.0,0.01875424,1.2007948608137045,0.43953217163706176,0.16054158607350097,0.16721828795772678,0.288735080088231,0.454
frozenset({'Chips'}),"frozenset({'Bread', 'Biscuits'})",0.2168,0.1432,0.0498,0.22970479704797048,1.6040837782679502,1.0,0.01875424,1.1123008383233532,0.480836522802138,0.16054158607350097,0.10096264828194501,0.288735080088231,0.454
frozenset({'Bread'}),"frozenset({'Chips', 'Biscuits'})",0.395,0.0702,0.0498,0.1260759493670886,1.7959536946878718,1.0,0.022070999999999997,1.0639368482039397,0.7325500348501444,0.11988444872412132,0.06009458955376275,0.417738829384399,0.454
frozenset({'Biscuits'}),"frozenset({'Chips', 'Bread'})",0.2078,0.0884,0.0498,0.23965351299326274,2.711012590421524,1.0,0.03143048,1.198927088607595,0.796685352873245,0.2021103896103896,0.16592092254636104,0.4015009646414277,0.532
"frozenset({'Chips', 'Tea', 'Bread'})",frozenset({'Biscuits'}),0.0532,0.2078,0.0384,0.7218045112781954,3.473553952253106,1.0,0.027345039999999994,2.8476378378378375,0.7521233805097873,0.17250673854447438,0.6488317486470531,0.45329879076903035,0.532
"frozenset({'Chips', 'Tea', 'Biscuits'})",frozenset({'Bread'}),0.0508,0.395,0.0384,0.7559055118110236,1.9136848400279078,1.0,0.018333999999999996,2.478548387096774,0.5030003336142715,0.0942562592047128,0.5965380360512786,0.42656035084222066,0.454
"frozenset({'Chips', 'Bread', 'Biscuits'})",frozenset({'Tea'}),0.0498,0.2636,0.0384,0.7710843373493975,2.9252061356198693,1.0,0.02527272,3.2169052631578934,0.6926370764049673,0.13963636363636361,0.6891422288829409,0.4583798014516335,0.209
"frozenset({'Tea', 'Bread', 'Biscuits'})",frozenset({'Chips'}),0.1056,0.2168,0.0384,0.3636363636363636,1.6772895001677288,1.0,0.015505919999999996,1.230742857142857,0.45147584973166366,0.1352112676056338,0.1874825889126195,0.2703790674270379,0.209
"frozenset({'Chips', 'Tea'})","frozenset({'Bread', 'Biscuits'})",0.079,0.1432,0.0384,0.48607594936708853,3.3943851212785514,1.0,0.0270872,1.6671724137931032,0.7659020991675715,0.20892274211099016,0.40018201373376344,0.37711618697404703,0.454
"frozenset({'Chips', 'Bread'})","frozenset({'Tea', 'Biscuits'})",0.0884,0.148,0.0384,0.43438914027149317,2.93506175859117,1.0,0.025316799999999997,1.506336,0.7232247330700599,0.1939393939393939,0.3361374885815648,0.34692429986547635,0.209
"frozenset({'Chips', 'Biscuits'})","frozenset({'Tea', 'Bread'})",0.0702,0.1614,0.0384,0.547008547008547,3.38914837056101,1.0,0.02706972,1.8512490566037734,0.7581637180038718,0.19875776397515527,0.4598241676705783,0.3924633813109649,0.209
"frozenset({'Tea', 'Bread'})","frozenset({'Chips', 'Biscuits'})",0.1614,0.0702,0.0384,0.2379182156133829,3.38914837056101,1.0,0.02706972,1.2200790243902437,0.840616056522776,0.19875776397515527,0.18038095893028921,0.3924633813109649,0.209
"frozenset({'Tea', 'Biscuits'})","frozenset({'Chips', 'Bread'})",0.148,0.0884,0.0384,0.2594594594594595,2.9350617585911705,1.0,0.025316799999999997,1.230992700729927,0.7738165101721439,0.1939393939393939,0.18764749831006963,0.34692429986547635,0.209
"frozenset({'Bread', 'Biscuits'})","frozenset({'Chips', 'Tea'})",0.1432,0.079,0.0384,0.2681564245810056,3.3943851212785514,1.0,0.0270872,1.2584656488549617,0.8232911220043573,0.20892274211099016,0.2053815684918627,0.37711618697404703,0.454
frozenset({'Chips'}),"frozenset({'Tea', 'Bread', 'Biscuits'})",0.2168,0.1056,0.0384,0.17712177121771217,1.6772895001677288,1.0,0.015505919999999996,1.086916591928251,0.5155771195097036,0.1352112676056338,0.07996620216649393,0.2703790674270379,0.209
frozenset({'Tea'}),"frozenset({'Chips', 'Bread', 'Biscuits'})",0.2636,0.0498,0.0384,0.14567526555386948,2.9252061356198693,1.0,0.02527272,1.1122234458259326,0.893731328082564,0.13963636363636361,0.1009000900377494,0.4583798014516335,0.209
frozenset({'Bread'}),"frozenset({'Chips', 'Tea', 'Biscuits'})",0.395,0.0508,0.0384,0.0972151898734177,1.9136848400279076,1.0,0.018333999999999996,1.0514133482894,0.7891701101928374,0.0942562592047128,0.048899272938703865,0.42656035084222066,0.454
frozenset({'Biscuits'}),"frozenset({'Chips', 'Tea', 'Bread'})",0.2078,0.0532,0.0384,0.18479307025986522,3.4735539522531056,1.0,0.027345039999999994,1.1614229043683588,0.8989023184381048,0.17250673854447438,0.13898718869863247,0.45329879076903035,0.532
"frozenset({'Tea', 'Milk'})",frozenset({'Biscuits'}),0.1076,0.2078,0.0642,0.5966542750929368,2.871291025471303,1.0,0.04184071999999999,1.9640718894009217,0.7303054802688259,0.2555732484076432,0.4908536671205968,0.4528025947168245,0.321
"frozenset({'Tea', 'Biscuits'})",frozenset({'Milk'}),0.148,0.3692,0.0642,0.43378378378378374,1.1749289918304002,1.0,0.009558400000000002,1.1140620525059663,0.17474734178696275,0.14172185430463574,0.10238393117277071,0.3038366372873415,0.531
"frozenset({'Milk', 'Biscuits'})",frozenset({'Tea'}),0.0838,0.2636,0.0642,0.7661097852028639,2.9063345417407582,1.0,0.04211031999999999,3.1484857142857128,0.7159179082503173,0.22669491525423727,0.682386997831157,0.5048303099003697,0.531
frozenset({'Tea'}),"frozenset({'Milk', 'Biscuits'})",0.2636,0.0838,0.0642,0.24355083459787555,2.9063345417407582,1.0,0.04211031999999999,1.211185155466399,0.8907169847079587,0.22669491525423727,0.17436240405793008,0.5048303099003697,0.531
frozenset({'Milk'}),"frozenset({'Tea', 'Biscuits'})",0.3692,0.148,0.0642,0.17388949079089924,1.1749289918304004,1.0,0.009558400000000002,1.0313390163934426,0.23602526189361486,0.14172185430463574,0.030386726280398183,0.3038366372873415,0.531
frozenset({'Biscuits'}),"frozenset({'Tea', 'Milk'})",0.2078,0.1076,0.0642,0.30895091434071215,2.8712910254713027,1.0,0.04184071999999999,1.29136991643454,0.8226768626507198,0.2555732484076432,0.22562854587708667,0.4528025947168245,0.321
"frozenset({'Milk', 'Bread'})",frozenset({'Biscuits'}),0.1778,0.2078,0.0608,0.3419572553430821,1.645607581054293,1.0,0.023853159999999998,1.2038731623931624,0.4771609225569396,0.18719211822660098,0.16934770934496599,0.3172731416272677,0.337
"frozenset({'Milk', 'Biscuits'})",frozenset({'Bread'}),0.0838,0.395,0.0608,0.7255369928400954,1.836802513519229,1.0,0.027699,2.2043043478260866,0.4972447695860477,0.14545454545454545,0.5463421369257776,0.4397305217365034,0.449
"frozenset({'Bread', 'Biscuits'})",frozenset({'Milk'}),0.1432,0.3692,0.0608,0.4245810055865922,1.1500027236906614,1.0,0.007930560000000003,1.0962446601941749,0.15223721067374324,0.1346324180690877,0.08779487252154757,0.2946306978095474,0.449
frozenset({'Milk'}),"frozenset({'Bread', 'Biscuits'})",0.3692,0.1432,0.0608,0.16468039003250273,1.1500027236906616,1.0,0.007930560000000003,1.0257151750972762,0.20678002870206597,0.1346324180690877,0.025070483231212345,0.2946306978095474,0.449
frozenset({'Bread'}),"frozenset({'Milk', 'Biscuits'})",0.395,0.0838,0.0608,0.1539240506329114,1.8368025135192292,1.0,0.027699,1.0828815080789946,0.753017616354937,0.14545454545454545,0.07653792909071316,0.4397305217365034,0.449
frozenset({'Biscuits'}),"frozenset({'Milk', 'Bread'})",0.2078,0.1778,0.0608,0.2925890279114533,1.645607581054293,1.0,0.023853159999999998,1.1622663945578233,0.49523063686735136,0.18719211822660098,0.1396120504882672,0.3172731416272677,0.337
"frozenset({'Tea', 'Bread', 'Milk'})",frozenset({'Biscuits'}),0.0716,0.2078,0.0494,0.6899441340782123,3.3202316365650253,1.0,0.03452152,2.5550234234234237,0.7527102480956309,0.2147826086956522,0.6086141556150118,0.4638363596281341,0.321
"frozenset({'Tea', 'Bread', 'Biscuits'})",frozenset({'Milk'}),0.1056,0.3692,0.0494,0.4678030303030303,1.2670721297481862,1.0,0.010412480000000002,1.1852754448398577,0.23566519160154417,0.11612599905970851,0.15631425222420783,0.3008029236022194,0.531
"frozenset({'Tea', 'Milk', 'Biscuits'})",frozenset({'Bread'}),0.0642,0.395,0.0494,0.7694704049844238,1.9480263417327184,1.0,0.024041,2.624391891891893,0.5200469320670443,0.12054660810151294,0.6189593470816922,0.44726684806183215,0.287
"frozenset({'Milk', 'Bread', 'Biscuits'})",frozenset({'Tea'}),0.0608,0.2636,0.0494,0.8125,3.0823216995447646,1.0,0.03337312,3.927466666666666,0.719302843664002,0.17963636363636362,0.7453829440521456,0.49995257966616086,0.531
"frozenset({'Tea', 'Bread'})","frozenset({'Milk', 'Biscuits'})",0.1614,0.0838,0.0494,0.30607187112763323,3.652408963336912,1.0,0.03587468,1.320309642857143,0.8659767435797662,0.25229826353421864,0.24260191129407688,0.4477853389051054,0.531
"frozenset({'Tea', 'Milk'})","frozenset({'Bread', 'Biscuits'})",0.1076,0.1432,0.0494,0.4591078066914498,3.2060601025939235,1.0,0.033991679999999996,1.5840494845360824,0.771056351702274,0.2452830188679245,0.3687065904428686,0.40203993686527795,0.287
