TransactionID,Customer_ID,Date,DayOfWeek,Month,Category,Product,Quantity,Price,CustomerType,TotalAmount,Year,WeekNumber
1,C0027,2024-02-17,Saturday,February,Fruit & Vegetables,Banana,4,280.32,student_budget,1121.28,2024,7
1,C0027,2024-02-17,Saturday,February,Beverages,Cold Drink,4,284.84,student_budget,1139.36,2024,7
1,C0027,2024-02-17,Saturday,February,Snacks,Chips,1,46.87,student_budget,46.87,2024,7
1,C0027,2024-02-17,Saturday,February,Dairy,Cheese,2,277.34,student_budget,554.68,2024,7
1,C0027,2024-02-17,Saturday,February,Beverages,Tea,3,295.43,student_budget,886.29,2024,7
1,C0027,2024-02-17,Saturday,February,Unknown,Biscuits,2,220.6,student_budget,441.2,2024,7
1,C0027,2024-02-17,Saturday,February,Bakery,Bread,1,161.05,student_budget,161.05,2024,7
1,C0027,2024-02-17,Saturday,February,Dairy,Panner,1,450.47,student_budget,450.47,2024,7
2,C0108,2024-12-15,Sunday,December,Cooking Essentials,Tomatosauce,5,377.24,student_budget,1886.2,2024,50
2,C0108,2024-12-15,Sunday,December,Beverages,Tea,2,433.66,student_budget,867.32,2024,50
2,C0108,2024-12-15,Sunday,December,Bakery,Bread,2,441.89,student_budget,883.78,2024,50
2,C0108,2024-12-15,Sunday,December,Snacks,Chips,1,97.89,student_budget,97.89,2024,50
3,C0474,2024-06-19,Wednesday,June,Personal Care,Shampoo,4,437.36,family_shopping,1749.44,2024,25
3,C0474,2024-06-19,Wednesday,June,Grains & Staples,Dal,4,118.99,family_shopping,475.96,2024,25
3,C0474,2024-06-19,Wednesday,June,Dairy,Milk,4,181.33,family_shopping,725.32,2024,25
3,C0474,2024-06-19,Wednesday,June,Personal Care,Soap,2,119.23,family_shopping,238.46,2024,25
3,C0474,2024-06-19,Wednesday,June,Bakery,Bread,2,205.25,family_shopping,410.5,2024,25
3,C0474,2024-06-19,Wednesday,June,Dairy,Panner,3,433.53,family_shopping,1300.59,2024,25
4,C0496,2024-05-22,Wednesday,May,Cooking Essentials,Tomatosauce,1,66.52,health_concious,66.52,2024,21
4,C0496,2024-05-22,Wednesday,May,Snacks,Nuts,3,97.5,health_concious,292.5,2024,21
4,C0496,2024-05-22,Wednesday,May,Dairy,Milk,3,28.75,health_concious,86.25,2024,21
4,C0496,2024-05-22,Wednesday,May,Dairy,Curd,5,222.94,health_concious,1114.7,2024,21
4,C0496,2024-05-22,Wednesday,May,Beverages,Tea,3,223.83,health_concious,671.49,2024,21
5,C0262,2024-02-29,Thursday,February,Fruit & Vegetables,Banana,5,463.53,health_concious,2317.6499999999996,2024,9
5,C0262,2024-02-29,Thursday,February,Grains & Staples,Oats,5,346.56,health_concious,1732.8,2024,9
5,C0262,2024-02-29,Thursday,February,Snacks,Nuts,2,188.47,health_concious,376.94,2024,9
5,C0262,2024-02-29,Thursday,February,Grains & Staples,Rice,1,474.95,health_concious,474.95,2024,9
5,C0262,2024-02-29,Thursday,February,Snacks,Popcorn,3,315.35,health_concious,946.0500000000001,2024,9
5,C0262,2024-02-29,Thursday,February,Fruit & Vegetables,Apple,1,362.68,health_concious,362.68,2024,9
6,C0154,2024-09-16,Monday,September,Beverages,Cold Drink,2,104.0,snack_lover,208.0,2024,38
6,C0154,2024-09-16,Monday,September,Snacks,Chocolate,4,341.89,snack_lover,1367.56,2024,38
6,C0154,2024-09-16,Monday,September,Personal Care,Soap,2,311.6,snack_lover,623.2,2024,38
6,C0154,2024-09-16,Monday,September,Snacks,Popcorn,3,208.98,snack_lover,626.9399999999999,2024,38
6,C0154,2024-09-16,Monday,September,Fruit & Vegetables,Apple,1,158.9,snack_lover,158.9,2024,38
7,C0108,2024-08-08,Thursday,August,Snacks,Chips,4,398.93,student_budget,1595.72,2024,32
7,C0108,2024-08-08,Thursday,August,Snacks,Nuts,2,332.84,student_budget,665.68,2024,32
7,C0108,2024-08-08,Thursday,August,Cooking Essentials,Sugar,3,262.57,student_budget,787.71,2024,32
7,C0108,2024-08-08,Thursday,August,Bakery,Brown Bread,5,174.24,student_budget,871.2,2024,32
7,C0108,2024-08-08,Thursday,August,Beverages,Tea,2,339.67,student_budget,679.34,2024,32
7,C0108,2024-08-08,Thursday,August,Unknown,Biscuits,2,405.22,student_budget,810.44,2024,32
7,C0108,2024-08-08,Thursday,August,Beverages,Cold Drink,2,21.97,student_budget,43.94,2024,32
8,C0126,2024-08-31,Saturday,August,Cooking Essentials,Salt,2,82.31,breakfast_shopping,164.62,2024,35
8,C0126,2024-08-31,Saturday,August,Snacks,Chips,1,447.4,breakfast_shopping,447.4,2024,35
8,C0126,2024-08-31,Saturday,August,Beverages,Waterbottle,1,391.43,breakfast_shopping,391.43,2024,35
8,C0126,2024-08-31,Saturday,August,Dairy,Butter,2,96.18,breakfast_shopping,192.36,2024,35
8,C0126,2024-08-31,Saturday,August,Beverages,Tea,5,237.63,breakfast_shopping,1188.15,2024,35
8,C0126,2024-08-31,Saturday,August,Unknown,Biscuits,5,132.11,breakfast_shopping,660.5500000000001,2024,35
8,C0126,2024-08-31,Saturday,August,Bakery,Bread,1,233.67,breakfast_shopping,233.67,2024,35
9,C0411,2024-08-25,Sunday,August,Cooking Essentials,Salt,3,378.37,breakfast_shopping,1135.1100000000001,2024,34
9,C0411,2024-08-25,Sunday,August,Dairy,Milk,3,385.25,breakfast_shopping,1155.75,2024,34
9,C0411,2024-08-25,Sunday,August,Bakery,Brown Bread,5,247.45,breakfast_shopping,1237.25,2024,34
9,C0411,2024-08-25,Sunday,August,Dairy,Butter,2,144.55,breakfast_shopping,289.1,2024,34
9,C0411,2024-08-25,Sunday,August,Snacks,Chocolate,1,359.64,breakfast_shopping,359.64,2024,34
9,C0411,2024-08-25,Sunday,August,Beverages,Tea,2,143.14,breakfast_shopping,286.28,2024,34
9,C0411,2024-08-25,Sunday,August,Unknown,Biscuits,3,447.58,breakfast_shopping,1342.74,2024,34
9,C0411,2024-08-25,Sunday,August,Bakery,Bread,1,77.8,breakfast_shopping,77.8,2024,34
10,C0119,2024-07-15,Monday,July,Fruit & Vegetables,Banana,4,40.51,health_concious,162.04,2024,29
10,C0119,2024-07-15,Monday,July,Personal Care,Shampoo,4,200.84,health_concious,803.36,2024,29
10,C0119,2024-07-15,Monday,July,Cooking Essentials,Salt,5,473.57,health_concious,2367.85,2024,29
10,C0119,2024-07-15,Monday,July,Grains & Staples,Oats,1,429.8,health_concious,429.8,2024,29
10,C0119,2024-07-15,Monday,July,Snacks,Nuts,5,196.39,health_concious,981.9499999999999,2024,29
10,C0119,2024-07-15,Monday,July,Dairy,Curd,1,471.94,health_concious,471.94,2024,29
10,C0119,2024-07-15,Monday,July,Beverages,Juice,3,379.2,health_concious,1137.6,2024,29
10,C0119,2024-07-15,Monday,July,Fruit & Vegetables,Apple,4,273.73,health_concious,1094.92,2024,29
11,C0377,2024-10-06,Sunday,October,Snacks,Chips,4,174.7,snack_lover,698.8,2024,40
11,C0377,2024-10-06,Sunday,October,Snacks,Nuts,4,364.85,snack_lover,1459.4,2024,40
11,C0377,2024-10-06,Sunday,October,Cooking Essentials,Sugar,4,460.58,snack_lover,1842.32,2024,40
11,C0377,2024-10-06,Sunday,October,Snacks,Namkeen,5,271.72,snack_lover,1358.6000000000001,2024,40
11,C0377,2024-10-06,Sunday,October,Snacks,Popcorn,4,300.03,snack_lover,1200.12,2024,40
11,C0377,2024-10-06,Sunday,October,Grains & Staples,Wheat Flour,1,51.13,snack_lover,51.13,2024,40
11,C0377,2024-10-06,Sunday,October,Beverages,Cold Drink,4,76.49,snack_lover,305.96,2024,40
12,C0237,2024-04-03,Wednesday,April,Snacks,Chips,2,232.8,student_budget,465.6,2024,14
12,C0237,2024-04-03,Wednesday,April,Beverages,Tea,3,383.0,student_budget,1149.0,2024,14
12,C0237,2024-04-03,Wednesday,April,Fruit & Vegetables,Onion,4,146.35,student_budget,585.4,2024,14
13,C0488,2024-08-03,Saturday,August,Cooking Essentials,Tomatosauce,3,119.87,daily_essentials,359.61,2024,31
13,C0488,2024-08-03,Saturday,August,Cooking Essentials,Salt,1,392.8,daily_essentials,392.8,2024,31
13,C0488,2024-08-03,Saturday,August,Fruit & Vegetables,Potato,1,379.57,daily_essentials,379.57,2024,31
13,C0488,2024-08-03,Saturday,August,Dairy,Milk,2,107.69,daily_essentials,215.38,2024,31
13,C0488,2024-08-03,Saturday,August,Grains & Staples,Poha,1,314.45,daily_essentials,314.45,2024,31
14,C0123,2024-03-05,Tuesday,March,Beverages,Waterbottle,5,307.55,breakfast_shopping,1537.75,2024,10
14,C0123,2024-03-05,Tuesday,March,Dairy,Milk,1,391.12,breakfast_shopping,391.12,2024,10
14,C0123,2024-03-05,Tuesday,March,Bakery,Brown Bread,2,482.71,breakfast_shopping,965.42,2024,10
14,C0123,2024-03-05,Tuesday,March,Dairy,Butter,1,293.56,breakfast_shopping,293.56,2024,10
14,C0123,2024-03-05,Tuesday,March,Beverages,Tea,3,292.14,breakfast_shopping,876.42,2024,10
14,C0123,2024-03-05,Tuesday,March,Bakery,Bread,4,204.36,breakfast_shopping,817.44,2024,10
15,C0367,2024-04-11,Thursday,April,Unknown,Biscuits,3,426.64,breakfast_shopping,1279.92,2024,15
15,C0367,2024-04-11,Thursday,April,Dairy,Milk,5,404.71,breakfast_shopping,2023.55,2024,15
15,C0367,2024-04-11,Thursday,April,Dairy,Butter,5,393.49,breakfast_shopping,1967.45,2024,15
16,C0178,2024-09-29,Sunday,September,Grains & Staples,Oats,4,412.94,health_concious,1651.76,2024,39
16,C0178,2024-09-29,Sunday,September,Beverages,Coffee,1,222.43,health_concious,222.43,2024,39
16,C0178,2024-09-29,Sunday,September,Snacks,Nuts,3,321.44,health_concious,964.3199999999999,2024,39
16,C0178,2024-09-29,Sunday,September,Dairy,Curd,4,356.58,health_concious,1426.32,2024,39
16,C0178,2024-09-29,Sunday,September,Grains & Staples,Rice,4,96.31,health_concious,385.24,2024,39
16,C0178,2024-09-29,Sunday,September,Fruit & Vegetables,Apple,5,483.08,health_concious,2415.4,2024,39
17,C0139,2024-11-11,Monday,November,Beverages,Cold Drink,3,442.0,snack_lover,1326.0,2024,46
17,C0139,2024-11-11,Monday,November,Grains & Staples,Oats,2,377.73,snack_lover,755.46,2024,46
17,C0139,2024-11-11,Monday,November,Snacks,Namkeen,5,309.06,snack_lover,1545.3,2024,46
17,C0139,2024-11-11,Monday,November,Snacks,Chocolate,4,174.83,snack_lover,699.32,2024,46
17,C0139,2024-11-11,Monday,November,Fruit & Vegetables,Onion,4,426.97,snack_lover,1707.88,2024,46
17,C0139,2024-11-11,Monday,November,Snacks,Popcorn,2,248.9,snack_lover,497.8,2024,46
17,C0139,2024-11-11,Monday,November,Bakery,Rusk,3,400.94,snack_lover,1202.82,2024,46
18,C0175,2024-05-23,Thursday,May,Cooking Essentials,Salt,4,249.4,daily_essentials,997.6,2024,21
18,C0175,2024-05-23,Thursday,May,Cooking Essentials,Oil,2,348.4,daily_essentials,696.8,2024,21
18,C0175,2024-05-23,Thursday,May,Grains & Staples,Oats,4,229.61,daily_essentials,918.44,2024,21
18,C0175,2024-05-23,Thursday,May,Dairy,Milk,1,55.6,daily_essentials,55.6,2024,21
18,C0175,2024-05-23,Thursday,May,Bakery,Brown Bread,2,208.16,daily_essentials,416.32,2024,21
18,C0175,2024-05-23,Thursday,May,Fruit & Vegetables,Onion,2,160.04,daily_essentials,320.08,2024,21
18,C0175,2024-05-23,Thursday,May,Bakery,Cookies,5,190.82,daily_essentials,954.0999999999999,2024,21
19,C0284,2024-09-28,Saturday,September,Fruit & Vegetables,Banana,3,133.19,student_budget,399.57,2024,39
19,C0284,2024-09-28,Saturday,September,Snacks,Chips,1,363.43,student_budget,363.43,2024,39
19,C0284,2024-09-28,Saturday,September,Snacks,Nuts,3,68.58,student_budget,205.74,2024,39
19,C0284,2024-09-28,Saturday,September,Beverages,Tea,5,475.93,student_budget,2379.65,2024,39
19,C0284,2024-09-28,Saturday,September,Unknown,Biscuits,2,103.86,student_budget,207.72,2024,39
20,C0379,2024-09-04,Wednesday,September,Fruit & Vegetables,Tomato,2,186.83,student_budget,373.66,2024,36
20,C0379,2024-09-04,Wednesday,September,Bakery,Bread,3,16.93,student_budget,50.79,2024,36
20,C0379,2024-09-04,Wednesday,September,Bakery,Brown Bread,5,72.03,student_budget,360.15,2024,36
20,C0379,2024-09-04,Wednesday,September,Beverages,Tea,1,487.4,student_budget,487.4,2024,36
20,C0379,2024-09-04,Wednesday,September,Beverages,Cold Drink,5,153.15,student_budget,765.75,2024,36
21,C0484,2024-03-05,Tuesday,March,Cooking Essentials,Oil,2,483.09,daily_essentials,966.18,2024,10
21,C0484,2024-03-05,Tuesday,March,Fruit & Vegetables,Potato,3,471.12,daily_essentials,1413.3600000000001,2024,10
21,C0484,2024-03-05,Tuesday,March,Cooking Essentials,Sugar,4,65.9,daily_essentials,263.6,2024,10
21,C0484,2024-03-05,Tuesday,March,Dairy,Milk,1,206.35,daily_essentials,206.35,2024,10
21,C0484,2024-03-05,Tuesday,March,Beverages,Juice,1,292.74,daily_essentials,292.74,2024,10
21,C0484,2024-03-05,Tuesday,March,Snacks,Chocolate,1,84.35,daily_essentials,84.35,2024,10
21,C0484,2024-03-05,Tuesday,March,Fruit & Vegetables,Onion,5,475.07,daily_essentials,2375.35,2024,10
21,C0484,2024-03-05,Tuesday,March,Bakery,Bread,1,497.02,daily_essentials,497.02,2024,10
22,C0061,2024-10-12,Saturday,October,Fruit & Vegetables,Tomato,5,495.12,student_budget,2475.6,2024,41
22,C0061,2024-10-12,Saturday,October,Snacks,Chips,3,288.63,student_budget,865.89,2024,41
22,C0061,2024-10-12,Saturday,October,Snacks,Nuts,1,308.72,student_budget,308.72,2024,41
22,C0061,2024-10-12,Saturday,October,Beverages,Tea,1,474.32,student_budget,474.32,2024,41
22,C0061,2024-10-12,Saturday,October,Unknown,Biscuits,2,316.5,student_budget,633.0,2024,41
22,C0061,2024-10-12,Saturday,October,Beverages,Cold Drink,3,333.61,student_budget,1000.83,2024,41
23,C0081,2024-05-02,Thursday,May,Dairy,Ghee,4,230.75,family_shopping,923.0,2024,18
23,C0081,2024-05-02,Thursday,May,Cooking Essentials,Oil,5,240.26,family_shopping,1201.3,2024,18
23,C0081,2024-05-02,Thursday,May,Grains & Staples,Rice,1,123.42,family_shopping,123.42,2024,18
23,C0081,2024-05-02,Thursday,May,Grains & Staples,Wheat Flour,3,354.46,family_shopping,1063.3799999999999,2024,18
24,C0233,2024-02-06,Tuesday,February,Personal Care,Shampoo,2,455.12,indian_cooking,910.24,2024,6
24,C0233,2024-02-06,Tuesday,February,Cooking Essentials,Oil,2,44.99,indian_cooking,89.98,2024,6
24,C0233,2024-02-06,Tuesday,February,Grains & Staples,Dal,2,398.39,indian_cooking,796.78,2024,6
24,C0233,2024-02-06,Tuesday,February,Cooking Essentials,Spices,5,376.99,indian_cooking,1884.95,2024,6
24,C0233,2024-02-06,Tuesday,February,Dairy,Ghee,5,461.38,indian_cooking,2306.9,2024,6
24,C0233,2024-02-06,Tuesday,February,Fruit & Vegetables,Onion,4,70.93,indian_cooking,283.72,2024,6
24,C0233,2024-02-06,Tuesday,February,Bakery,Cookies,3,352.87,indian_cooking,1058.6100000000001,2024,6
24,C0233,2024-02-06,Tuesday,February,Dairy,Panner,3,255.23,indian_cooking,765.6899999999999,2024,6
25,C0253,2024-08-12,Monday,August,Snacks,Chips,3,305.82,daily_essentials,917.46,2024,33
25,C0253,2024-08-12,Monday,August,Dairy,Milk,1,54.75,daily_essentials,54.75,2024,33
25,C0253,2024-08-12,Monday,August,Cooking Essentials,Oil,5,297.69,daily_essentials,1488.45,2024,33
26,C0011,2024-12-10,Tuesday,December,Cooking Essentials,Oil,4,458.88,student_budget,1835.52,2024,50
26,C0011,2024-12-10,Tuesday,December,Snacks,Chips,2,498.5,student_budget,997.0,2024,50
