TransactionID,Customer_ID,Date,DayOfWeek,Month,Category,Product,Quantity,Price,CustomerType
00001,C0027,2024-02-17,Saturday,February,Dairy,Panner,4,280.32,student_budget
00002,C0027,2024-02-17,Saturday,February,Dairy,Cheese,4,284.84,student_budget
00003,C0027,2024-02-17,Saturday,February,Bakery,Bread,1,46.87,student_budget
00004,C0027,2024-02-17,Saturday,February,Beverages,Tea,2,277.34,student_budget
00005,C0027,2024-02-17,Saturday,February,Beverages,Cold Drink,3,295.43,student_budget
00006,C0027,2024-02-17,Saturday,February,Snacks,Chips,2,220.6,student_budget
00007,C0027,2024-02-17,Saturday,February,Unknown,Biscuits,1,161.05,student_budget
00008,C0027,2024-02-17,Saturday,February,Fruit & Vegetables,Banana,1,450.47,student_budget
00009,C0108,2024-12-15,Sunday,December,Cooking Essentials,Tomatosauce,5,377.24,student_budget
00010,C0108,2024-12-15,Sunday,December,Beverages,Tea,2,433.66,student_budget
00011,C0108,2024-12-15,Sunday,December,Snacks,Chips,2,441.89,student_budget
00012,C0108,2024-12-15,Sunday,December,Bakery,Bread,1,97.89,student_budget
00013,C0474,2024-06-19,Wednesday,June,Dairy,Panner,4,437.36,family_shopping
00014,C0474,2024-06-19,Wednesday,June,Bakery,Bread,4,118.99,family_shopping
00015,C0474,2024-06-19,Wednesday,June,Personal Care,Soap,4,181.33,family_shopping
00016,C0474,2024-06-19,Wednesday,June,Personal Care,Shampoo,2,119.23,family_shopping
00017,C0474,2024-06-19,Wednesday,June,Dairy,Milk,2,205.25,family_shopping
00018,C0474,2024-06-19,Wednesday,June,Grains & Staples,Dal,3,433.53,family_shopping
00019,C0496,2024-05-22,Wednesday,May,Snacks,Nuts,1,66.52,health_concious
00020,C0496,2024-05-22,Wednesday,May,Beverages,Tea,3,97.5,health_concious
00021,C0496,2024-05-22,Wednesday,May,Dairy,Curd,3,28.75,health_concious
00022,C0496,2024-05-22,Wednesday,May,Cooking Essentials,Tomatosauce,5,222.94,health_concious
00023,C0496,2024-05-22,Wednesday,May,Dairy,Milk,3,223.83,health_concious
00024,C0262,2024-02-29,Thursday,February,Snacks,Popcorn,5,463.53,health_concious
00025,C0262,2024-02-29,Thursday,February,Snacks,Nuts,5,346.56,health_concious
00026,C0262,2024-02-29,Thursday,February,Fruit & Vegetables,Apple,2,188.47,health_concious
00027,C0262,2024-02-29,Thursday,February,Grains & Staples,Rice,1,474.95,health_concious
00028,C0262,2024-02-29,Thursday,February,Grains & Staples,Oats,3,315.35,health_concious
00029,C0262,2024-02-29,Thursday,February,Fruit & Vegetables,Banana,1,362.68,health_concious
00030,C0154,2024-09-16,Monday,September,Snacks,Popcorn,2,104.0,snack_lover
00031,C0154,2024-09-16,Monday,September,Personal Care,Soap,4,341.89,snack_lover
00032,C0154,2024-09-16,Monday,September,Beverages,Cold Drink,2,311.6,snack_lover
00033,C0154,2024-09-16,Monday,September,Fruit & Vegetables,Apple,3,208.98,snack_lover
00034,C0154,2024-09-16,Monday,September,Snacks,Chocolate,1,158.9,snack_lover
00035,C0108,2024-08-08,Thursday,August,Bakery,Brown Bread,4,398.93,student_budget
00036,C0108,2024-08-08,Thursday,August,Snacks,Nuts,2,332.84,student_budget
00037,C0108,2024-08-08,Thursday,August,Beverages,Tea,3,262.57,student_budget
00038,C0108,2024-08-08,Thursday,August,Beverages,Cold Drink,5,174.24,student_budget
00039,C0108,2024-08-08,Thursday,August,Snacks,Chips,2,339.67,student_budget
00040,C0108,2024-08-08,Thursday,August,Cooking Essentials,Sugar,2,405.22,student_budget
00041,C0108,2024-08-08,Thursday,August,Unknown,Biscuits,2,21.97,student_budget
00042,C0126,2024-08-31,Saturday,August,Beverages,Waterbottle,2,82.31,breakfast_shopping
00043,C0126,2024-08-31,Saturday,August,Bakery,Bread,1,447.4,breakfast_shopping
00044,C0126,2024-08-31,Saturday,August,Dairy,Butter,1,391.43,breakfast_shopping
00045,C0126,2024-08-31,Saturday,August,Beverages,Tea,2,96.18,breakfast_shopping
00046,C0126,2024-08-31,Saturday,August,Cooking Essentials,Salt,5,237.63,breakfast_shopping
00047,C0126,2024-08-31,Saturday,August,Snacks,Chips,5,132.11,breakfast_shopping
00048,C0126,2024-08-31,Saturday,August,Unknown,Biscuits,1,233.67,breakfast_shopping
00049,C0411,2024-08-25,Sunday,August,Bakery,Brown Bread,3,378.37,breakfast_shopping
00050,C0411,2024-08-25,Sunday,August,Bakery,Bread,3,385.25,breakfast_shopping
00051,C0411,2024-08-25,Sunday,August,Dairy,Butter,5,247.45,breakfast_shopping
00052,C0411,2024-08-25,Sunday,August,Beverages,Tea,2,144.55,breakfast_shopping
00053,C0411,2024-08-25,Sunday,August,Cooking Essentials,Salt,1,359.64,breakfast_shopping
00054,C0411,2024-08-25,Sunday,August,Snacks,Chocolate,2,143.14,breakfast_shopping
00055,C0411,2024-08-25,Sunday,August,Unknown,Biscuits,3,447.58,breakfast_shopping
00056,C0411,2024-08-25,Sunday,August,Dairy,Milk,1,77.8,breakfast_shopping
00057,C0119,2024-07-15,Monday,July,Snacks,Nuts,4,40.51,health_concious
00058,C0119,2024-07-15,Monday,July,Cooking Essentials,Salt,4,200.84,health_concious
00059,C0119,2024-07-15,Monday,July,Dairy,Curd,5,473.57,health_concious
00060,C0119,2024-07-15,Monday,July,Fruit & Vegetables,Apple,1,429.8,health_concious
00061,C0119,2024-07-15,Monday,July,Personal Care,Shampoo,5,196.39,health_concious
00062,C0119,2024-07-15,Monday,July,Grains & Staples,Oats,1,471.94,health_concious
00063,C0119,2024-07-15,Monday,July,Fruit & Vegetables,Banana,3,379.2,health_concious
00064,C0119,2024-07-15,Monday,July,Beverages,Juice,4,273.73,health_concious
00065,C0377,2024-10-06,Sunday,October,Snacks,Popcorn,4,174.7,snack_lover
00066,C0377,2024-10-06,Sunday,October,Snacks,Nuts,4,364.85,snack_lover
00067,C0377,2024-10-06,Sunday,October,Grains & Staples,Wheat Flour,4,460.58,snack_lover
00068,C0377,2024-10-06,Sunday,October,Beverages,Cold Drink,5,271.72,snack_lover
00069,C0377,2024-10-06,Sunday,October,Snacks,Chips,4,300.03,snack_lover
00070,C0377,2024-10-06,Sunday,October,Snacks,Namkeen,1,51.13,snack_lover
00071,C0377,2024-10-06,Sunday,October,Cooking Essentials,Sugar,4,76.49,snack_lover
00072,C0237,2024-04-03,Wednesday,April,Beverages,Tea,2,232.8,student_budget
00073,C0237,2024-04-03,Wednesday,April,Snacks,Chips,3,383.0,student_budget
00074,C0237,2024-04-03,Wednesday,April,Fruit & Vegetables,Onion,4,146.35,student_budget
00075,C0488,2024-08-03,Saturday,August,Cooking Essentials,Salt,3,119.87,daily_essentials
00076,C0488,2024-08-03,Saturday,August,Cooking Essentials,Tomatosauce,1,392.8,daily_essentials
00077,C0488,2024-08-03,Saturday,August,Grains & Staples,Poha,1,379.57,daily_essentials
00078,C0488,2024-08-03,Saturday,August,Fruit & Vegetables,Potato,2,107.69,daily_essentials
00079,C0488,2024-08-03,Saturday,August,Dairy,Milk,1,314.45,daily_essentials
00080,C0123,2024-03-05,Tuesday,March,Bakery,Brown Bread,5,307.55,breakfast_shopping
00081,C0123,2024-03-05,Tuesday,March,Beverages,Waterbottle,1,391.12,breakfast_shopping
00082,C0123,2024-03-05,Tuesday,March,Dairy,Butter,2,482.71,breakfast_shopping
00083,C0123,2024-03-05,Tuesday,March,Bakery,Bread,1,293.56,breakfast_shopping
00084,C0123,2024-03-05,Tuesday,March,Beverages,Tea,3,292.14,breakfast_shopping
00085,C0123,2024-03-05,Tuesday,March,Dairy,Milk,4,204.36,breakfast_shopping
00086,C0367,2024-04-11,Thursday,April,Dairy,Milk,3,426.64,breakfast_shopping
00087,C0367,2024-04-11,Thursday,April,Dairy,Butter,5,404.71,breakfast_shopping
00088,C0367,2024-04-11,Thursday,April,Unknown,Biscuits,5,393.49,breakfast_shopping
00089,C0178,2024-09-29,Sunday,September,Beverages,Coffee,4,412.94,health_concious
00090,C0178,2024-09-29,Sunday,September,Snacks,Nuts,1,222.43,health_concious
00091,C0178,2024-09-29,Sunday,September,Dairy,Curd,3,321.44,health_concious
00092,C0178,2024-09-29,Sunday,September,Fruit & Vegetables,Apple,4,356.58,health_concious
00093,C0178,2024-09-29,Sunday,September,Grains & Staples,Rice,4,96.31,health_concious
00094,C0178,2024-09-29,Sunday,September,Grains & Staples,Oats,5,483.08,health_concious
00095,C0139,2024-11-11,Monday,November,Snacks,Popcorn,3,442.0,snack_lover
00096,C0139,2024-11-11,Monday,November,Beverages,Cold Drink,2,377.73,snack_lover
00097,C0139,2024-11-11,Monday,November,Bakery,Rusk,5,309.06,snack_lover
00098,C0139,2024-11-11,Monday,November,Snacks,Namkeen,4,174.83,snack_lover
00099,C0139,2024-11-11,Monday,November,Snacks,Chocolate,4,426.97,snack_lover
00100,C0139,2024-11-11,Monday,November,Fruit & Vegetables,Onion,2,248.9,snack_lover
00101,C0139,2024-11-11,Monday,November,Grains & Staples,Oats,3,400.94,snack_lover
00102,C0175,2024-05-23,Thursday,May,Bakery,Brown Bread,4,249.4,daily_essentials
00103,C0175,2024-05-23,Thursday,May,Bakery,Cookies,2,348.4,daily_essentials
00104,C0175,2024-05-23,Thursday,May,Cooking Essentials,Salt,4,229.61,daily_essentials
00105,C0175,2024-05-23,Thursday,May,Fruit & Vegetables,Onion,1,55.6,daily_essentials
00106,C0175,2024-05-23,Thursday,May,Grains & Staples,Oats,2,208.16,daily_essentials
00107,C0175,2024-05-23,Thursday,May,Dairy,Milk,2,160.04,daily_essentials
00108,C0175,2024-05-23,Thursday,May,Cooking Essentials,Oil,5,190.82,daily_essentials
00109,C0284,2024-09-28,Saturday,September,Snacks,Nuts,3,133.19,student_budget
00110,C0284,2024-09-28,Saturday,September,Beverages,Tea,1,363.43,student_budget
00111,C0284,2024-09-28,Saturday,September,Snacks,Chips,3,68.58,student_budget
00112,C0284,2024-09-28,Saturday,September,Unknown,Biscuits,5,475.93,student_budget
00113,C0284,2024-09-28,Saturday,September,Fruit & Vegetables,Banana,2,103.86,student_budget
00114,C0379,2024-09-04,Wednesday,September,Bakery,Brown Bread,2,186.83,student_budget
00115,C0379,2024-09-04,Wednesday,September,Bakery,Bread,3,16.93,student_budget
00116,C0379,2024-09-04,Wednesday,September,Beverages,Tea,5,72.03,student_budget
00117,C0379,2024-09-04,Wednesday,September,Beverages,Cold Drink,1,487.4,student_budget
00118,C0379,2024-09-04,Wednesday,September,Fruit & Vegetables,Tomato,5,153.15,student_budget
00119,C0484,2024-03-05,Tuesday,March,Bakery,Bread,2,483.09,daily_essentials
00120,C0484,2024-03-05,Tuesday,March,Cooking Essentials,Sugar,3,471.12,daily_essentials
00121,C0484,2024-03-05,Tuesday,March,Snacks,Chocolate,4,65.9,daily_essentials
00122,C0484,2024-03-05,Tuesday,March,Fruit & Vegetables,Onion,1,206.35,daily_essentials
00123,C0484,2024-03-05,Tuesday,March,Fruit & Vegetables,Potato,1,292.74,daily_essentials
00124,C0484,2024-03-05,Tuesday,March,Dairy,Milk,1,84.35,daily_essentials
00125,C0484,2024-03-05,Tuesday,March,Beverages,Juice,5,475.07,daily_essentials
00126,C0484,2024-03-05,Tuesday,March,Cooking Essentials,Oil,1,497.02,daily_essentials
00127,C0061,2024-10-12,Saturday,October,Snacks,Nuts,5,495.12,student_budget
00128,C0061,2024-10-12,Saturday,October,Beverages,Tea,3,288.63,student_budget
00129,C0061,2024-10-12,Saturday,October,Beverages,Cold Drink,1,308.72,student_budget
00130,C0061,2024-10-12,Saturday,October,Fruit & Vegetables,Tomato,1,474.32,student_budget
00131,C0061,2024-10-12,Saturday,October,Snacks,Chips,2,316.5,student_budget
00132,C0061,2024-10-12,Saturday,October,Unknown,Biscuits,3,333.61,student_budget
00133,C0081,2024-05-02,Thursday,May,Dairy,Ghee,4,230.75,family_shopping
00134,C0081,2024-05-02,Thursday,May,Grains & Staples,Rice,5,240.26,family_shopping
00135,C0081,2024-05-02,Thursday,May,Grains & Staples,Wheat Flour,1,123.42,family_shopping
00136,C0081,2024-05-02,Thursday,May,Cooking Essentials,Oil,3,354.46,family_shopping
00137,C0233,2024-02-06,Tuesday,February,Cooking Essentials,Spices,2,455.12,indian_cooking
00138,C0233,2024-02-06,Tuesday,February,Dairy,Panner,2,44.99,indian_cooking
00139,C0233,2024-02-06,Tuesday,February,Bakery,Cookies,2,398.39,indian_cooking
00140,C0233,2024-02-06,Tuesday,February,Fruit & Vegetables,Onion,5,376.99,indian_cooking
00141,C0233,2024-02-06,Tuesday,February,Personal Care,Shampoo,5,461.38,indian_cooking
00142,C0233,2024-02-06,Tuesday,February,Dairy,Ghee,4,70.93,indian_cooking
00143,C0233,2024-02-06,Tuesday,February,Grains & Staples,Dal,3,352.87,indian_cooking
00144,C0233,2024-02-06,Tuesday,February,Cooking Essentials,Oil,3,255.23,indian_cooking
00145,C0253,2024-08-12,Monday,August,Dairy,Milk,3,305.82,daily_essentials
00146,C0253,2024-08-12,Monday,August,Snacks,Chips,1,54.75,daily_essentials
00147,C0253,2024-08-12,Monday,August,Cooking Essentials,Oil,5,297.69,daily_essentials
00148,C0011,2024-12-10,Tuesday,December,Cooking Essentials,Spices,4,458.88,student_budget
00149,C0011,2024-12-10,Tuesday,December,Bakery,Bread,2,498.5,student_budget
00150,C0011,2024-12-10,Tuesday,December,Beverages,Cold Drink,4,321.04,student_budget
00151,C0011,2024-12-10,Tuesday,December,Snacks,Chips,4,484.84,student_budget
00152,C0011,2024-12-10,Tuesday,December,Cooking Essentials,Oil,4,180.5,student_budget
00153,C0171,2024-06-13,Thursday,June,Bakery,Bread,1,232.86,daily_essentials
00154,C0171,2024-06-13,Thursday,June,Personal Care,Toothpaste,3,133.68,daily_essentials
00155,C0171,2024-06-13,Thursday,June,Snacks,Namkeen,1,485.39,daily_essentials
00156,C0171,2024-06-13,Thursday,June,Fruit & Vegetables,Onion,4,433.81,daily_essentials
